"chr","start","end","length","abs_summit","pileup","X.log10.pvalue.","fold_enrichment","X.log10.qvalue.","name","sample","group","GENE_ID"
"KI270835.1",5697,5976,280,5750,9,2.38596,2.16856,0,"B1_vs_B2_peak_1214","B1_vs_B2","C-KD","ENSG00000275428.2"
"KI270835.1",18384,18649,266,18547,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_1215","B1_vs_B2","C-KD","ENSG00000275428.2"
"KI270847.1",87742,88021,280,87993,8,2.70906,2.42685,0.0372868,"B1_vs_B2_peak_1258","B1_vs_B2","C-KD","ENSG00000274958.4"
"KI270847.1",88461,88980,520,88816,16,2.87594,2.06744,0.0678765,"B1_vs_B2_peak_1259","B1_vs_B2","C-KD","ENSG00000274958.4"
"KI270847.1",102333,102598,266,102427,4,2.24863,2.36966,0,"B1_vs_B2_peak_1260","B1_vs_B2","C-KD","ENSG00000274958.4"
"KI270847.1",108497,108831,335,108569,4,2.24863,2.36966,0,"B1_vs_B2_peak_1261","B1_vs_B2","C-KD","ENSG00000274958.4"
"KI270847.1",120619,120884,266,120727,8,2.60393,2.36232,0,"B1_vs_B2_peak_1262","B1_vs_B2","C-KD","ENSG00000274958.4"
"KI270847.1",124125,124411,287,124218,16,2.87594,2.06744,0.0678765,"B1_vs_B2_peak_1263","B1_vs_B2","C-KD","ENSG00000274958.4"
"KI270847.1",172097,172618,522,172514,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_1265","B1_vs_B2","C-KD","ENSG00000274958.4"
"KI270847.1",227008,227652,645,227523,8,4.04475,3.269,0.594536,"B1_vs_B2_peak_1266","B1_vs_B2","C-KD","ENSG00000274958.4"
"KI270847.1",228766,229099,334,228965,11,4.56438,3.23579,0.931067,"B1_vs_B2_peak_1267","B1_vs_B2","C-KD","ENSG00000274958.4"
"KI270847.1",355626,355891,266,355675,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_1273","B1_vs_B2","C-KD","ENSG00000277222.4"
"KI270847.1",373787,374052,266,373916,4,2.24863,2.36966,0,"B1_vs_B2_peak_1274","B1_vs_B2","C-KD","ENSG00000277222.4"
"KI270847.1",494937,495202,266,494980,4,2.24863,2.36966,0,"B1_vs_B2_peak_1276","B1_vs_B2","C-KD","ENSG00000276416.3"
"KI270847.1",659071,659346,276,659083,4,2.24863,2.36966,0,"B1_vs_B2_peak_1277","B1_vs_B2","C-KD","ENSG00000276416.3"
"KI270847.1",766250,766541,292,766487,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_1278","B1_vs_B2","C-KD","ENSG00000276416.3"
"KI270850.1",53072,53337,266,53205,14,4.89918,3.09758,1.07655,"B1_vs_B2_peak_1311","B1_vs_B2","C-KD","ENSG00000274042.2"
"KI270851.1",174989,175254,266,175164,5,2.82244,2.72631,0.0678765,"B1_vs_B2_peak_1322","B1_vs_B2","C-KD","ENSG00000280787.3"
"KI270851.1",180711,180976,266,180784,4,2.24863,2.36966,0,"B1_vs_B2_peak_1323","B1_vs_B2","C-KD","ENSG00000280787.3"
"KI270851.1",181459,181777,319,181660,12,4.29177,2.98017,0.765798,"B1_vs_B2_peak_1324","B1_vs_B2","C-KD","ENSG00000280787.3"
"KI270851.1",210417,210682,266,210487,4,2.24863,2.36966,0,"B1_vs_B2_peak_1325","B1_vs_B2","C-KD","ENSG00000280787.3"
"KI270851.1",210915,211381,467,211267,4,2.24863,2.36966,0,"B1_vs_B2_peak_1326","B1_vs_B2","C-KD","ENSG00000280787.3"
"KI270851.1",212350,212657,308,212608,5,1.97771,2.13852,0,"B1_vs_B2_peak_1327","B1_vs_B2","C-KD","ENSG00000280787.3"
"KI270853.1",122625,123050,426,122848,14,2.64152,2.04922,0,"B1_vs_B2_peak_1333","B1_vs_B2","C-KD","ENSG00000274829.4"
"KI270853.1",187686,187974,289,187794,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_1334","B1_vs_B2","C-KD","ENSG00000274829.4"
"KI270853.1",867130,867490,361,867253,4,2.24863,2.36966,0,"B1_vs_B2_peak_1356","B1_vs_B2","C-KD","ENSG00000276709.4"
"KI270853.1",869820,870085,266,869938,6,2.65306,2.54256,0.00209303,"B1_vs_B2_peak_1357","B1_vs_B2","C-KD","ENSG00000276709.4"
"KI270853.1",1086257,1086522,266,1086323,5,2.43441,2.45808,0,"B1_vs_B2_peak_1365","B1_vs_B2","C-KD","ENSG00000282074.1"
"KI270853.1",1125192,1125480,289,1125434,7,2.17129,2.1572,0,"B1_vs_B2_peak_1366","B1_vs_B2","C-KD","ENSG00000282074.1"
"KI270853.1",1146734,1147095,362,1146954,7,3.36346,2.93135,0.282073,"B1_vs_B2_peak_1367","B1_vs_B2","C-KD","ENSG00000282074.1"
"KI270853.1",1150603,1151018,416,1150835,6,2.78885,2.63448,0.0678765,"B1_vs_B2_peak_1368","B1_vs_B2","C-KD","ENSG00000282074.1"
"KI270853.1",1698798,1699354,557,1699316,8,2.31009,2.1834,0,"B1_vs_B2_peak_1380","B1_vs_B2","C-KD","ENSG00000278183.4"
"KI270853.1",1758672,1759228,557,1758838,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_1381","B1_vs_B2","C-KD","ENSG00000278183.4"
"KI270853.1",1798001,1798801,801,1798251,7,4.43009,3.63508,0.851576,"B1_vs_B2_peak_1382","B1_vs_B2","C-KD","ENSG00000278183.4"
"KI270853.1",1811580,1811915,336,1811831,6,2.65306,2.54256,0.00209303,"B1_vs_B2_peak_1384","B1_vs_B2","C-KD","ENSG00000275331.5"
"KI270853.1",1827289,1827629,341,1827461,5,2.99423,2.84359,0.0678765,"B1_vs_B2_peak_1385","B1_vs_B2","C-KD","ENSG00000275331.5"
"KI270853.1",1914723,1914988,266,1914775,4,2.24863,2.36966,0,"B1_vs_B2_peak_1388","B1_vs_B2","C-KD","ENSG00000278087.4"
"KI270854.1",26019,26436,418,26179,7,3.24183,2.85136,0.206141,"B1_vs_B2_peak_1404","B1_vs_B2","C-KD","ENSG00000275338.4"
"KI270854.1",39522,40036,515,39563,5,1.97771,2.13852,0,"B1_vs_B2_peak_1405","B1_vs_B2","C-KD","ENSG00000275338.4"
