"chr","start","end","length","abs_summit","pileup","X.log10.pvalue.","fold_enrichment","X.log10.qvalue.","name","sample","group","GENE_ID"
"KI270742.1",135960,136247,288,136173,7.22,2.27297,2.28409,0,"B2_vs_B1_peak_556","B2_vs_B1","KD-C","ENSG00000306526.1"
"KI270742.1",138028,138680,653,138470,7.22,2.9599,2.74091,0,"B2_vs_B1_peak_557","B2_vs_B1","KD-C","ENSG00000306526.1"
"KI270743.1",112137,112461,325,112317,7.22,4.19197,3.57509,0,"B2_vs_B1_peak_559","B2_vs_B1","KD-C","ENSG00000307061.1"
"KI270743.1",117384,117656,273,117587,8.13,3.62443,3.04185,0,"B2_vs_B1_peak_560","B2_vs_B1","KD-C","ENSG00000307061.1"
"KI270743.1",133104,133363,260,133151,4.51,1.97212,2.39748,0,"B2_vs_B1_peak_561","B2_vs_B1","KD-C","ENSG00000307061.1"
"KI270743.1",137178,137717,540,137550,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_562","B2_vs_B1","KD-C","ENSG00000307061.1"
"KI270743.1",150965,151443,479,151270,7.22,2.27297,2.28409,0,"B2_vs_B1_peak_563","B2_vs_B1","KD-C","ENSG00000307061.1"
"KI270743.1",161438,161697,260,161609,11.74,3.13143,2.59937,0,"B2_vs_B1_peak_566","B2_vs_B1","KD-C","ENSG00000307061.1"
"KI270743.1",163054,163467,414,163140,7.22,2.85371,2.66971,0,"B2_vs_B1_peak_568","B2_vs_B1","KD-C","ENSG00000307061.1"
"KI270743.1",181450,181709,260,181523,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_569","B2_vs_B1","KD-C","ENSG00000307061.1"
"KI270746.1",33890,34317,428,34083,5.42,2.69479,2.82192,0,"B2_vs_B1_peak_579","B2_vs_B1","KD-C","ENSG00000297432.1"
"KI270749.1",30683,31217,535,31046,6.32,2.34354,2.43996,0,"B2_vs_B1_peak_596","B2_vs_B1","KD-C","ENSG00000293753.1"
"KI270751.1",38835,39203,369,39080,25.28,4.13562,2.20466,0,"B2_vs_B1_peak_606","B2_vs_B1","KD-C","ENSG00000303867.1"
"KI270751.1",58258,58526,269,58491,6.32,3.15268,3.01229,0,"B2_vs_B1_peak_608","B2_vs_B1","KD-C","ENSG00000303867.1"
"KI270751.1",59441,59700,260,59543,7.22,3.60953,3.1797,0,"B2_vs_B1_peak_609","B2_vs_B1","KD-C","ENSG00000303867.1"
"KI270751.1",68408,68735,328,68558,8.13,4.16386,3.3924,0,"B2_vs_B1_peak_610","B2_vs_B1","KD-C","ENSG00000303867.1"
"KI270759.1",136908,137206,299,136950,6.32,2.34354,2.43996,0,"B2_vs_B1_peak_625","B2_vs_B1","KD-C","ENSG00000281216.1"
"KI270762.1",202648,203444,797,202865,10.83,5.08049,3.94469,0.405846,"B2_vs_B1_peak_628","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",212359,212773,415,212562,10.83,3.53412,2.95852,0,"B2_vs_B1_peak_629","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",214614,215355,742,214692,9.93,3.63373,3.17399,0,"B2_vs_B1_peak_630","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",217383,217750,368,217552,9.03,2.95763,2.5071,0,"B2_vs_B1_peak_631","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",222099,222469,371,222267,9.93,2.58521,2.49572,0,"B2_vs_B1_peak_632","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",225397,225765,369,225618,14.45,5.54932,3.52635,0.716457,"B2_vs_B1_peak_634","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",230050,230396,347,230184,13.54,3.15615,2.42376,0,"B2_vs_B1_peak_636","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",233077,233398,322,233246,16.25,6.33057,3.63641,1.17005,"B2_vs_B1_peak_637","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",237564,238137,574,237904,16.25,7.07898,4.01002,1.57962,"B2_vs_B1_peak_638","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",238668,238949,282,238823,9.93,2.51592,2.45205,0,"B2_vs_B1_peak_639","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",242757,243516,760,242999,12.64,4.61797,3.31062,0.188214,"B2_vs_B1_peak_641","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",258255,259044,790,258322,9.93,2.95763,2.73281,0,"B2_vs_B1_peak_642","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",317222,317481,260,317369,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_643","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",322690,322976,287,322909,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_644","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270762.1",332776,333035,260,332800,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_645","B2_vs_B1","KD-C","ENSG00000275571.2"
"KI270763.1",460269,460673,405,460430,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_647","B2_vs_B1","KD-C","ENSG00000276111.3"
"KI270763.1",517966,518280,315,518148,10.83,3.53412,2.95852,0,"B2_vs_B1_peak_648","B2_vs_B1","KD-C","ENSG00000275199.4"
"KI270763.1",865821,866330,510,865970,9.03,3.7824,3.00251,0,"B2_vs_B1_peak_649","B2_vs_B1","KD-C","ENSG00000275199.4"
"KI270792.1",41738,42089,352,41930,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_682","B2_vs_B1","KD-C","ENSG00000276920.4"
"KI270795.1",31144,31403,260,31225,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_684","B2_vs_B1","KD-C","ENSG00000290534.1"
"KI270806.1",130376,130829,454,130580,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_697","B2_vs_B1","KD-C","ENSG00000275723.4"
"KI270819.1",102839,103197,359,103013,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_720","B2_vs_B1","KD-C","ENSG00000275575.4"
"KI270823.1",374881,375200,320,375128,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_725","B2_vs_B1","KD-C","ENSG00000276539.4"
"KI270832.1",72497,72756,260,72587,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_732","B2_vs_B1","KD-C","ENSG00000273831.2"
"KI270832.1",194480,194766,287,194673,9.93,5.24053,4.27001,0.510573,"B2_vs_B1_peak_736","B2_vs_B1","KD-C","ENSG00000282712.1"
"KI270834.1",81322,81786,465,81714,19.86,2.97636,2.08625,0,"B2_vs_B1_peak_737","B2_vs_B1","KD-C","ENSG00000281935.1"
"KI270847.1",173178,173526,349,173383,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_744","B2_vs_B1","KD-C","ENSG00000274958.4"
"KI270847.1",179353,179612,260,179595,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_745","B2_vs_B1","KD-C","ENSG00000274958.4"
"KI270847.1",198298,198639,342,198526,3.61,1.36557,2.00494,0,"B2_vs_B1_peak_746","B2_vs_B1","KD-C","ENSG00000274958.4"
"KI270847.1",217524,217807,284,217674,3.61,1.36557,2.00494,0,"B2_vs_B1_peak_747","B2_vs_B1","KD-C","ENSG00000274958.4"
"KI270847.1",1055805,1056468,664,1056049,14.45,4.70046,3.08909,0.188214,"B2_vs_B1_peak_752","B2_vs_B1","KD-C","ENSG00000278693.3"
"KI270850.1",16512,16771,260,16610,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_756","B2_vs_B1","KD-C","ENSG00000281976.2"
"KI270850.1",31979,32238,260,32021,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_757","B2_vs_B1","KD-C","ENSG00000281976.2"
"KI270853.1",750106,750365,260,750142,5.42,2.13977,2.4088,0,"B2_vs_B1_peak_767","B2_vs_B1","KD-C","ENSG00000290489.1"
"KI270853.1",944418,944736,319,944614,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_768","B2_vs_B1","KD-C","ENSG00000274779.4"
"KI270853.1",1618786,1619213,428,1618974,10.83,3.39339,2.87235,0,"B2_vs_B1_peak_772","B2_vs_B1","KD-C","ENSG00000278183.4"
"KI270853.1",1881191,1881469,279,1881384,9.03,2.58521,2.28959,0,"B2_vs_B1_peak_774","B2_vs_B1","KD-C","ENSG00000275331.5"
"KI270853.1",1937368,1937664,297,1937432,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_775","B2_vs_B1","KD-C","ENSG00000278087.4"
"KI270853.1",1989773,1990417,645,1989958,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_776","B2_vs_B1","KD-C","ENSG00000282522.2"
"KI270854.1",99510,99837,328,99646,8.13,2.41987,2.28139,0,"B2_vs_B1_peak_782","B2_vs_B1","KD-C","ENSG00000275338.4"
"KI270857.1",672055,672314,260,672252,5.42,2.2705,2.50665,0,"B2_vs_B1_peak_787","B2_vs_B1","KD-C","ENSG00000282087.2"
"KI270857.1",2374885,2375170,286,2375061,5.42,2.97845,3.02976,0,"B2_vs_B1_peak_797","B2_vs_B1","KD-C","ENSG00000276469.1"
"KI270857.1",2638665,2638924,260,2638782,5.42,2.7845,2.88795,0,"B2_vs_B1_peak_799","B2_vs_B1","KD-C","ENSG00000273608.4"
"KI270862.1",45443,45703,261,45474,7.22,2.03847,2.13024,0,"B2_vs_B1_peak_806","B2_vs_B1","KD-C","ENSG00000278741.4"
"KI270862.1",308784,309047,264,308797,7.22,2.99282,2.76301,0,"B2_vs_B1_peak_811","B2_vs_B1","KD-C","ENSG00000274474.3"
"KI270865.1",34704,35010,307,34850,7.22,4.50859,3.78927,0.15772,"B2_vs_B1_peak_820","B2_vs_B1","KD-C","ENSG00000278788.4"
"KI270865.1",42776,43396,621,43152,4.51,2.07919,2.48164,0,"B2_vs_B1_peak_821","B2_vs_B1","KD-C","ENSG00000278788.4"
"KI270879.1",62528,62854,327,62664,9.03,2.95763,2.5071,0,"B2_vs_B1_peak_834","B2_vs_B1","KD-C","ENSG00000275837.3"
"KI270900.1",221268,221527,260,221491,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_858","B2_vs_B1","KD-C","ENSG00000274161.4"
"KI270905.1",34682,34941,260,34708,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_862","B2_vs_B1","KD-C","ENSG00000277361.2"
"KI270905.1",229546,229848,303,229704,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_863","B2_vs_B1","KD-C","ENSG00000277361.2"
"KI270905.1",230449,230842,394,230654,17.15,5.26629,3.02566,0.526155,"B2_vs_B1_peak_864","B2_vs_B1","KD-C","ENSG00000277361.2"
"KI270905.1",1269733,1270109,377,1269908,6.32,2.34354,2.43996,0,"B2_vs_B1_peak_867","B2_vs_B1","KD-C","ENSG00000276495.4"
"KI270905.1",1388729,1389028,300,1388848,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_868","B2_vs_B1","KD-C","ENSG00000276495.4"
"KI270905.1",1835200,1835710,511,1835596,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_869","B2_vs_B1","KD-C","ENSG00000273564.2"
"KI270907.1",67408,67667,260,67490,8.13,3.14061,2.7322,0,"B2_vs_B1_peak_890","B2_vs_B1","KD-C","ENSG00000282013.1"
"KI270907.1",86957,87545,589,87436,17.15,3.2471,2.19251,0,"B2_vs_B1_peak_891","B2_vs_B1","KD-C","ENSG00000282013.1"
"KI270907.1",88059,88336,278,88205,16.25,3.18048,2.22308,0,"B2_vs_B1_peak_892","B2_vs_B1","KD-C","ENSG00000282013.1"
"KI270907.1",108323,108582,260,108495,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_893","B2_vs_B1","KD-C","ENSG00000282013.1"
"KI270910.1",120799,121174,376,121078,7.22,2.85371,2.66971,0,"B2_vs_B1_peak_903","B2_vs_B1","KD-C","ENSG00000276016.4"
"KN538361.1",92408,92824,417,92592,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_948","B2_vs_B1","KD-C","ENSG00000280549.1"
"KN538369.1",151832,152163,332,152001,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_959","B2_vs_B1","KD-C","ENSG00000281449.2"
"KN538370.1",64120,64521,402,64311,9.03,4.33257,3.3428,0.0308892,"B2_vs_B1_peak_963","B2_vs_B1","KD-C","ENSG00000281178.4"
"KN538370.1",67710,68093,384,67900,5.42,2.65158,2.79002,0,"B2_vs_B1_peak_964","B2_vs_B1","KD-C","ENSG00000281178.4"
"KN538370.1",84283,84563,281,84379,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_965","B2_vs_B1","KD-C","ENSG00000281178.4"
"KQ090016.1",106392,106698,307,106606,11.74,2.89637,2.46839,0,"B2_vs_B1_peak_1004","B2_vs_B1","KD-C","ENSG00000283068.2"
"KQ090028.1",193006,193404,399,193248,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_1008","B2_vs_B1","KD-C","ENSG00000282825.2"
"KQ090028.1",295468,295727,260,295631,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_1009","B2_vs_B1","KD-C","ENSG00000282825.2"
"KQ458384.1",92203,92480,278,92277,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_1016","B2_vs_B1","KD-C","ENSG00000282880.5"
"KQ458386.1",129584,129938,355,129843,5.42,2.2705,2.50665,0,"B2_vs_B1_peak_1018","B2_vs_B1","KD-C","ENSG00000282844.2"
"KQ759762.2",57189,57454,266,57357,6.32,2.34354,2.43996,0,"B2_vs_B1_peak_1021","B2_vs_B1","KD-C","ENSG00000292254.1"
"KQ759762.2",79830,80161,332,80031,8.13,5.32497,4.15553,0.564048,"B2_vs_B1_peak_1022","B2_vs_B1","KD-C","ENSG00000291368.1"
"KV766196.1",156971,157585,615,157053,5.42,2.97845,3.02976,0,"B2_vs_B1_peak_1043","B2_vs_B1","KD-C","ENSG00000283883.2"
"KV880768.1",871718,872314,597,872116,16.25,3.75727,2.46444,0,"B2_vs_B1_peak_1053","B2_vs_B1","KD-C","ENSG00000284161.3"
"KV880768.1",1457010,1457269,260,1457180,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_1058","B2_vs_B1","KD-C","ENSG00000284548.3"
"KZ208912.1",18602,18904,303,18823,9.93,4.19326,3.5491,0,"B2_vs_B1_peak_1075","B2_vs_B1","KD-C","ENSG00000284816.2"
"KZ208912.1",523390,523649,260,523477,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_1078","B2_vs_B1","KD-C","ENSG00000284866.1"
"KZ208915.1",1880906,1881497,592,1881276,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_1093","B2_vs_B1","KD-C","ENSG00000292288.1"
"KZ208915.1",1893071,1893382,312,1893300,6.32,2.34354,2.43996,0,"B2_vs_B1_peak_1094","B2_vs_B1","KD-C","ENSG00000292288.1"
"KZ208915.1",2334552,2334811,260,2334594,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_1096","B2_vs_B1","KD-C","ENSG00000284927.2"
"KZ208915.1",2410768,2411027,260,2410789,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_1097","B2_vs_B1","KD-C","ENSG00000284927.2"
"KZ208915.1",3011769,3012174,406,3012073,9.03,2.16181,2.04661,0,"B2_vs_B1_peak_1100","B2_vs_B1","KD-C","ENSG00000285250.2"
"KZ208915.1",3228702,3228973,272,3228955,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_1101","B2_vs_B1","KD-C","ENSG00000285250.2"
"KZ208915.1",3269720,3270153,434,3269834,6.32,3.39407,3.18255,0,"B2_vs_B1_peak_1102","B2_vs_B1","KD-C","ENSG00000285250.2"
"KZ208915.1",3590763,3591022,260,3590919,8.13,3.62443,3.04185,0,"B2_vs_B1_peak_1104","B2_vs_B1","KD-C","ENSG00000285372.2"
"KZ208915.1",3694341,3694600,260,3694464,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_1105","B2_vs_B1","KD-C","ENSG00000285372.2"
"KZ208915.1",6279127,6279386,260,6279175,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_1115","B2_vs_B1","KD-C","ENSG00000288673.2"
"KZ208916.1",223307,223566,260,223536,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_1116","B2_vs_B1","KD-C","ENSG00000284953.2"
"KZ208920.1",276261,276522,262,276317,7.22,4.25228,3.61597,0.00710845,"B2_vs_B1_peak_1129","B2_vs_B1","KD-C","ENSG00000285282.2"
"KZ208920.1",276716,277065,350,276908,9.93,2.95763,2.73281,0,"B2_vs_B1_peak_1130","B2_vs_B1","KD-C","ENSG00000285282.2"
"KZ208920.1",312920,313399,480,313215,6.32,2.56395,2.5957,0,"B2_vs_B1_peak_1131","B2_vs_B1","KD-C","ENSG00000285282.2"
"KZ208920.1",336612,337039,428,336940,9.03,2.16181,2.04661,0,"B2_vs_B1_peak_1132","B2_vs_B1","KD-C","ENSG00000285282.2"
"KZ559109.1",115943,116202,260,116154,5.42,1.78085,2.13901,0,"B2_vs_B1_peak_1139","B2_vs_B1","KD-C","ENSG00000285501.2"
"KZ559113.1",316312,316690,379,316479,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_1144","B2_vs_B1","KD-C","ENSG00000285395.3"
"ML143343.1",51786,52158,373,51952,8.13,3.62443,3.04185,0,"B2_vs_B1_peak_1147","B2_vs_B1","KD-C","ENSG00000288323.2"
"ML143355.1",147236,147572,337,147426,4.51,2.11678,2.51102,0,"B2_vs_B1_peak_1201","B2_vs_B1","KD-C","ENSG00000288244.1"
"ML143355.1",182619,183342,724,182772,11.74,3.03847,2.54738,0,"B2_vs_B1_peak_1202","B2_vs_B1","KD-C","ENSG00000288244.1"
"ML143358.1",77209,77468,260,77420,5.42,2.65158,2.79002,0,"B2_vs_B1_peak_1203","B2_vs_B1","KD-C","ENSG00000288199.3"
"ML143359.1",127755,128518,764,127860,5.42,2.65158,2.79002,0,"B2_vs_B1_peak_1206","B2_vs_B1","KD-C","ENSG00000288198.2"
"ML143359.1",187040,187299,260,187156,7.22,3.85743,3.34801,0,"B2_vs_B1_peak_1207","B2_vs_B1","KD-C","ENSG00000288401.1"
"ML143361.1",147327,147623,297,147494,16.25,5.94584,3.45022,0.873524,"B2_vs_B1_peak_1209","B2_vs_B1","KD-C","ENSG00000288490.1"
"ML143361.1",149355,149663,309,149539,8.13,2.41987,2.28139,0,"B2_vs_B1_peak_1210","B2_vs_B1","KD-C","ENSG00000288490.1"
"ML143361.1",205918,206360,443,206013,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_1211","B2_vs_B1","KD-C","ENSG00000288490.1"
"ML143370.1",80642,80901,260,80689,5.42,2.65158,2.79002,0,"B2_vs_B1_peak_1226","B2_vs_B1","KD-C","ENSG00000288407.1"
"ML143370.1",83971,84322,352,84106,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_1227","B2_vs_B1","KD-C","ENSG00000288407.1"
"MU273333.1",33856,34115,260,34063,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_1309","B2_vs_B1","KD-C","ENSG00000291376.1"
"MU273333.1",401448,401707,260,401572,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_1313","B2_vs_B1","KD-C","ENSG00000292226.2"
"MU273333.1",423005,423432,428,423233,5.42,2.83109,2.92215,0,"B2_vs_B1_peak_1314","B2_vs_B1","KD-C","ENSG00000292226.2"
"MU273333.1",710178,710451,274,710216,10.83,2.54672,2.36681,0,"B2_vs_B1_peak_1319","B2_vs_B1","KD-C","ENSG00000292230.1"
"MU273333.1",754264,754523,260,754335,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_1320","B2_vs_B1","KD-C","ENSG00000292230.1"
"MU273333.1",767104,767363,260,767202,3.61,1.60825,2.21171,0,"B2_vs_B1_peak_1321","B2_vs_B1","KD-C","ENSG00000292230.1"
"MU273333.1",903956,904247,292,904138,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_1322","B2_vs_B1","KD-C","ENSG00000291403.1"
"MU273333.1",945730,946030,301,945933,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_1323","B2_vs_B1","KD-C","ENSG00000291403.1"
"MU273333.1",947137,947396,260,947302,4.51,2.28937,2.64474,0,"B2_vs_B1_peak_1324","B2_vs_B1","KD-C","ENSG00000291403.1"
"MU273333.1",968401,968679,279,968599,4.51,1.97212,2.39748,0,"B2_vs_B1_peak_1325","B2_vs_B1","KD-C","ENSG00000291403.1"
"MU273333.1",1001724,1001983,260,1001956,5.42,1.78085,2.13901,0,"B2_vs_B1_peak_1326","B2_vs_B1","KD-C","ENSG00000291403.1"
"MU273333.1",1203865,1204321,457,1204086,6.32,3.86352,3.51078,0,"B2_vs_B1_peak_1332","B2_vs_B1","KD-C","ENSG00000292225.2"
"MU273333.1",1231509,1231768,260,1231638,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_1333","B2_vs_B1","KD-C","ENSG00000292225.2"
"MU273333.1",1255455,1255714,260,1255572,5.42,1.78085,2.13901,0,"B2_vs_B1_peak_1334","B2_vs_B1","KD-C","ENSG00000292225.2"
"MU273333.1",1485289,1485809,521,1485677,5.42,3.04456,3.07776,0,"B2_vs_B1_peak_1339","B2_vs_B1","KD-C","ENSG00000291387.1"
"MU273334.1",134687,135029,343,134884,6.32,3.39407,3.18255,0,"B2_vs_B1_peak_1341","B2_vs_B1","KD-C","ENSG00000291885.1"
