"","chr","start","end","GENE_ID"
"79","MU273383.1",90428,90693,NA
"80","MU273390.1",109935,110255,NA
"81","MU273397.1",217786,217934,"ENSG00000292279.1"
"82","chr1",943361,943615,"ENSG00000187634.14"
"83","chr1",980749,981009,"ENSG00000187642.11"
"84","chr1",1597446,1597808,NA
"85","chr1",1888766,1889057,"ENSG00000078369.20"
"86","chr1",2555937,2555954,"ENSG00000238164.7"
"87","chr1",5933706,5934127,"ENSG00000131697.19"
"88","chr1",6101003,6101218,NA
"89","chr1",6432102,6432324,"ENSG00000187017.18"
"90","chr1",6587906,6588142,"ENSG00000204859.14"
"91","chr1",6795843,6796139,"ENSG00000171735.21"
"92","chr1",7808327,7808625,"ENSG00000049246.16"
"93","chr1",7929646,7929984,"ENSG00000049249.11"
"94","chr1",7989930,7990403,NA
"95","chr1",8018827,8019029,"ENSG00000116285.14"
"96","chr1",9340225,9340629,"ENSG00000171621.15"
"97","chr1",11327732,11327801,"ENSG00000284646.2"
"98","chr1",12567386,12567762,NA
"99","chr1",13659239,13659252,"ENSG00000237445.2"
"100","chr1",13783348,13783822,"ENSG00000116731.23"
"101","chr1",13807023,13807335,"ENSG00000116731.23"
"102","chr1",16004313,16004384,"ENSG00000183888.4"
"103","chr1",17439175,17439445,"ENSG00000179051.15"
"104","chr1",19120772,19120875,"ENSG00000127481.15"
"105","chr1",19273743,19273947,"ENSG00000211454.16"
"106","chr1",19607417,19607752,"ENSG00000173436.16"
"107","chr1",22072485,22072566,"ENSG00000289694.1"
"108","chr1",22625766,22625819,NA
"109","chr1",22917224,22917325,"ENSG00000133216.17"
"110","chr1",23766034,23766051,"ENSG00000236810.9"
"111","chr1",24515674,24515841,"ENSG00000286061.3"
"112","chr1",24763698,24763971,"ENSG00000169504.16"
"113","chr1",29289321,29289323,"ENSG00000060656.21"
"114","chr1",29703558,29703838,NA
"115","chr1",30963227,30963485,"ENSG00000134644.17"
"116","chr1",31600566,31600944,NA
"117","chr1",31772437,31772507,"ENSG00000301119.1"
"118","chr1",31802945,31803050,"ENSG00000134668.14"
"119","chr1",31897552,31897768,"ENSG00000269967.1"
"120","chr1",31923683,31923772,"ENSG00000184007.22"
"121","chr1",31985403,31985863,"ENSG00000284702.1"
"122","chr1",32222205,32222476,"ENSG00000084623.13"
"123","chr1",33235507,33235759,NA
"124","chr1",34833793,34834108,"ENSG00000163866.10"
"125","chr1",35179660,35179892,"ENSG00000116560.12"
"126","chr1",37521988,37522267,"ENSG00000307694.1"
"127","chr1",37809118,37809315,"ENSG00000197982.14"
"128","chr1",39852267,39852636,"ENSG00000043514.17"
"129","chr1",40267755,40268138,"ENSG00000084073.11"
"130","chr1",40786305,40786674,"ENSG00000117013.18"
"131","chr1",42690372,42690999,"ENSG00000065978.20"
"132","chr1",43295443,43296036,NA
"133","chr1",43304246,43304568,"ENSG00000066056.16"
"134","chr1",43318098,43318398,"ENSG00000066056.16"
"135","chr1",43930510,43930815,"ENSG00000284989.1"
"136","chr1",44433256,44433549,"ENSG00000187147.20"
"137","chr1",47562056,47562275,"ENSG00000309980.1"
"138","chr1",47846568,47846779,"ENSG00000269113.5"
"139","chr1",47926850,47927080,"ENSG00000269113.5"
"140","chr1",50329410,50329805,"ENSG00000284696.3"
"141","chr1",50620853,50620972,"ENSG00000185104.22"
"142","chr1",51345065,51345345,NA
"143","chr1",51433650,51433941,"ENSG00000085832.19"
"144","chr1",53091288,53091434,"ENSG00000174348.15"
"145","chr1",53283977,53284253,"ENSG00000157193.19"
"146","chr1",53293174,53293497,"ENSG00000157193.19"
"147","chr1",54604899,54604971,"ENSG00000162390.19"
"148","chr1",55189922,55190111,"ENSG00000162402.16"
"149","chr1",59056502,59056576,"ENSG00000234807.10"
"150","chr1",61279054,61279437,"ENSG00000162599.19"
"151","chr1",63662113,63662368,NA
"152","chr1",65170896,65171166,"ENSG00000162433.16"
"153","chr1",65440672,65440781,"ENSG00000116678.20"
"154","chr1",70840468,70840552,"ENSG00000235782.2"
"155","chr1",77459155,77459255,"ENSG00000154027.19"
"156","chr1",80155493,80155779,NA
"157","chr1",81314688,81314790,"ENSG00000117114.22"
"158","chr1",81369413,81369671,"ENSG00000117114.22"
"159","chr1",84833268,84833593,"ENSG00000171517.7"
"160","chr1",85371059,85371136,"ENSG00000223653.7"
"161","chr1",86846154,86846662,NA
"162","chr1",87150169,87150174,"ENSG00000267561.2"
"163","chr1",89022329,89022609,"ENSG00000307222.1"
"164","chr1",89552856,89553149,"ENSG00000197147.16"
"165","chr1",94124416,94124749,NA
"166","chr1",99603825,99603911,NA
"167","chr1",100299531,100299742,NA
"168","chr1",101003020,101003314,"ENSG00000117543.23"
"169","chr1",107004024,107004401,NA
"170","chr1",110292371,110292481,"ENSG00000227963.3"
"171","chr1",110510225,110510408,"ENSG00000301555.1"
"172","chr1",113530154,113530756,"ENSG00000081026.20"
"173","chr1",115437175,115437501,NA
"174","chr1",118294954,118295302,NA
"175","chr1",119517805,119517942,"ENSG00000293080.2"
"176","chr1",121736848,121737100,NA
"177","chr1",143940536,143940796,NA
"178","chr1",144748691,144749021,"ENSG00000224363.3"
"179","chr1",145431990,145432098,"ENSG00000303361.1"
"180","chr1",145662558,145662822,"ENSG00000117262.20"
"181","chr1",145932840,145933114,"ENSG00000234222.7"
"182","chr1",146028821,146028862,"ENSG00000168509.21"
"183","chr1",146274186,146274613,"ENSG00000276509.2"
"184","chr1",146484363,146484757,"ENSG00000291242.2"
"185","chr1",150073028,150073330,"ENSG00000136631.17"
"186","chr1",150970783,150970996,"ENSG00000143418.21"
"187","chr1",152108069,152108519,"ENSG00000159450.13"
"188","chr1",153843728,153844029,"ENSG00000143614.12"
"189","chr1",153904529,153904672,"ENSG00000143614.12"
"190","chr1",156379681,156379962,"ENSG00000132677.14"
"191","chr1",156428639,156428686,"ENSG00000125462.21"
"192","chr1",161359003,161359268,"ENSG00000143252.18"
"193","chr1",162276373,162276669,"ENSG00000198929.14"
"194","chr1",162612591,162613716,NA
"195","chr1",165161200,165161528,NA
"196","chr1",171595037,171595239,NA
"197","chr1",176829380,176829802,"ENSG00000116183.11"
"198","chr1",178650888,178651108,"ENSG00000273384.2"
"199","chr1",179876225,179876553,"ENSG00000169905.14"
"200","chr1",180912003,180912343,"ENSG00000294697.1"
"201","chr1",182679758,182679924,"ENSG00000135824.13"
"202","chr1",182889756,182890127,NA
"203","chr1",183550757,183551027,"ENSG00000116698.23"
"204","chr1",191823857,191824309,"ENSG00000228215.4"
"205","chr1",193085257,193085530,"ENSG00000116747.14"
"206","chr1",201080147,201080370,"ENSG00000081248.13"
"207","chr1",202200086,202200144,"ENSG00000133067.19"
"208","chr1",202215616,202215642,"ENSG00000133067.19"
"209","chr1",203714236,203714437,"ENSG00000058668.17"
"210","chr1",203812701,203812765,"ENSG00000257315.4"
"211","chr1",205761626,205761656,NA
"212","chr1",206032647,206033235,NA
"213","chr1",206890606,206891176,"ENSG00000307982.1"
"214","chr1",207227021,207227354,"ENSG00000296591.1"
"215","chr1",207937196,207937386,"ENSG00000284237.2"
"216","chr1",212113803,212114036,NA
"217","chr1",213331816,213331980,NA
"218","chr1",213996932,213997241,"ENSG00000117707.18"
"219","chr1",214233869,214234837,"ENSG00000294336.1"
"220","chr1",214419666,214419965,"ENSG00000152104.12"
"221","chr1",217605326,217605345,"ENSG00000092978.12"
"222","chr1",218620981,218621218,NA
"223","chr1",219067061,219067339,"ENSG00000228063.5"
"224","chr1",219837746,219838006,"ENSG00000196660.13"
"225","chr1",224040028,224040317,NA
"226","chr1",224473475,224473743,"ENSG00000143786.9"
"227","chr1",227908623,227908669,NA
"228","chr1",229482105,229482349,"ENSG00000069248.13"
"229","chr1",229614998,229615252,"ENSG00000135801.12"
"230","chr1",231236335,231236424,"ENSG00000143633.14"
"231","chr1",232869022,232869298,"ENSG00000286774.2"
"232","chr1",237205981,237206031,"ENSG00000198626.19"
"233","chr10",3124860,3125175,"ENSG00000067057.20"
"234","chr10",3861674,3862092,NA
"235","chr10",3897161,3897547,NA
"236","chr10",4448317,4448582,"ENSG00000287246.2"
"237","chr10",5958119,5958478,"ENSG00000134470.22"
"238","chr10",7824359,7824545,"ENSG00000165632.9"
"239","chr10",17244597,17245175,NA
"240","chr10",17249860,17250132,NA
"241","chr10",21363070,21363487,"ENSG00000230109.2"
"242","chr10",21507230,21507405,"ENSG00000308054.1"
"243","chr10",24216679,24216938,"ENSG00000120549.20"
"244","chr10",24238445,24238827,"ENSG00000120549.20"
"245","chr10",24814841,24815129,NA
"246","chr10",27893469,27893791,"ENSG00000169126.17"
"247","chr10",29587137,29587857,"ENSG00000197321.17"
"248","chr10",30537455,30537737,"ENSG00000287420.2"
"249","chr10",31064323,31064555,"ENSG00000272381.3"
"250","chr10",34781936,34782152,"ENSG00000148498.18"
"251","chr10",35992396,35992573,"ENSG00000299958.1"
"252","chr10",43056073,43056346,NA
"253","chr10",43384559,43384647,NA
"254","chr10",43384985,43385285,NA
"255","chr10",45711295,45711555,"ENSG00000290460.2"
"256","chr10",46476808,46477074,"ENSG00000285402.2"
"257","chr10",46840906,46841251,NA
"258","chr10",49740627,49740933,"ENSG00000197444.11"
"259","chr10",49741106,49741153,"ENSG00000197444.11"
"260","chr10",50564025,50564410,"ENSG00000198964.15"
"261","chr10",52187606,52187983,"ENSG00000185532.20"
"262","chr10",54801069,54801350,"ENSG00000150275.20"
"263","chr10",59310200,59310371,"ENSG00000148541.14"
"264","chr10",61993760,61994254,"ENSG00000150347.17"
"265","chr10",63773040,63773093,"ENSG00000228566.3"
"266","chr10",63819803,63820106,"ENSG00000228566.3"
"267","chr10",68669318,68669321,"ENSG00000138336.10"
"268","chr10",69994307,69994678,"ENSG00000224222.3"
"269","chr10",70432107,70432244,"ENSG00000156574.10"
"270","chr10",71187628,71187871,NA
"271","chr10",71278668,71279089,"ENSG00000107731.13"
"272","chr10",71999113,71999155,"ENSG00000122863.7"
"273","chr10",72222854,72223416,"ENSG00000166295.10"
"274","chr10",72746991,72747256,"ENSG00000156026.16"
"275","chr10",73663915,73664287,"ENSG00000271848.3"
"276","chr10",74081261,74081495,"ENSG00000035403.19"
"277","chr10",79048345,79048609,"ENSG00000224596.10"
"278","chr10",79209330,79209675,"ENSG00000108175.20"
"279","chr10",80284245,80284318,"ENSG00000151224.14"
"280","chr10",84406467,84406740,"ENSG00000107771.18"
"281","chr10",90195276,90195688,"ENSG00000232229.9"
"282","chr10",91206669,91206945,"ENSG00000180628.16"
"283","chr10",91995771,91995899,"ENSG00000095564.16"
"284","chr10",92873074,92873414,"ENSG00000138190.17"
"285","chr10",93032074,93032150,"ENSG00000138190.17"
"286","chr10",93319939,93320263,"ENSG00000297060.1"
"287","chr10",94006997,94007002,"ENSG00000138193.18"
"288","chr10",94274430,94274931,"ENSG00000138193.18"
"289","chr10",95408397,95408603,"ENSG00000095637.24"
"290","chr10",95605299,95605650,NA
"291","chr10",98249399,98249422,"ENSG00000138131.5"
"292","chr10",101244361,101244703,"ENSG00000227128.6"
"293","chr10",101301541,101301818,"ENSG00000289441.2"
"294","chr10",101566779,101567100,NA
"295","chr10",101995602,101995960,"ENSG00000120029.14"
"296","chr10",103265820,103266050,"ENSG00000076685.20"
"297","chr10",103298838,103298910,NA
"298","chr10",103787242,103787364,"ENSG00000107957.17"
"299","chr10",106386895,106387035,NA
"300","chr10",110746753,110746944,"ENSG00000203867.10"
"301","chr10",112741882,112742356,"ENSG00000151532.16"
"302","chr10",113335593,113335760,"ENSG00000306410.1"
"303","chr10",114255357,114255541,"ENSG00000165816.14"
"304","chr10",114639101,114639335,"ENSG00000099204.23"
"305","chr10",114665889,114666286,"ENSG00000099204.23"
"306","chr10",115814580,115814853,"ENSG00000107518.19"
"307","chr10",116465471,116465630,"ENSG00000203837.5"
"308","chr10",118803925,118803927,"ENSG00000229272.3"
"309","chr10",119899928,119900159,"ENSG00000107651.16"
"310","chr10",120302639,120302907,"ENSG00000303377.1"
"311","chr10",121990303,121990603,"ENSG00000138162.20"
"312","chr10",122404407,122404672,"ENSG00000107679.16"
"313","chr10",123496339,123496474,"ENSG00000230131.7"
"314","chr10",125792894,125792920,"ENSG00000188690.17"
"315","chr10",127012732,127013092,"ENSG00000150760.14"
"316","chr10",127999410,127999730,"ENSG00000132334.18"
"317","chr10",128078484,128078802,"ENSG00000132334.18"
"318","chr10",132238673,132239052,"ENSG00000165752.18"
"319","chr10",133066685,133066830,NA
"320","chr11",435491,435850,"ENSG00000185101.14"
"321","chr11",704853,705256,"ENSG00000177030.20"
"322","chr11",710584,710874,"ENSG00000177106.18"
"323","chr11",1060794,1061149,NA
"324","chr11",1226893,1227029,"ENSG00000117983.17"
"325","chr11",1297905,1298078,"ENSG00000078902.17"
"326","chr11",1459680,1459962,"ENSG00000174672.17"
"327","chr11",1559628,1560054,"ENSG00000184545.12"
"328","chr11",3127351,3127716,"ENSG00000021762.21"
"329","chr11",3411123,3411266,"ENSG00000290960.2"
"330","chr11",8225724,8226095,"ENSG00000166407.15"
"331","chr11",8793335,8793646,"ENSG00000166444.20"
"332","chr11",11476978,11477410,"ENSG00000110328.7"
"333","chr11",11657384,11657821,NA
"334","chr11",12949500,12949742,NA
"335","chr11",13327566,13327938,"ENSG00000133794.21"
"336","chr11",14537282,14537547,"ENSG00000129084.20"
"337","chr11",14584548,14584774,"ENSG00000129084.20"
"338","chr11",15112972,15113303,"ENSG00000188487.13"
"339","chr11",15244455,15244462,"ENSG00000188487.13"
"340","chr11",19800207,19800334,"ENSG00000166833.23"
"341","chr11",23113223,23113376,NA
"342","chr11",23329332,23329676,NA
"343","chr11",36002169,36002578,"ENSG00000179241.14"
"344","chr11",42499038,42499417,NA
"345","chr11",45280360,45280785,"ENSG00000019505.8"
"346","chr11",46719387,46719576,"ENSG00000180210.16"
"347","chr11",57491424,57492053,"ENSG00000149150.10"
"348","chr11",59053419,59053888,"ENSG00000255240.7"
"349","chr11",59862245,59862338,"ENSG00000134827.8"
"350","chr11",61701446,61701700,"ENSG00000134780.11"
"351","chr11",62413339,62413667,"ENSG00000149021.8"
"352","chr11",62514746,62514838,"ENSG00000124942.14"
"353","chr11",62697798,62697962,"ENSG00000168000.17"
"354","chr11",64385625,64386037,"ENSG00000298679.1"
"355","chr11",64553963,64553977,NA
"356","chr11",64554199,64554413,NA
"357","chr11",65412330,65412774,"ENSG00000126391.15"
"358","chr11",65516434,65516667,NA
"359","chr11",66221476,66221861,"ENSG00000175115.13"
"360","chr11",66274713,66274720,"ENSG00000174903.17"
"361","chr11",66553849,66554122,"ENSG00000248746.7"
"362","chr11",67100131,67100710,NA
"363","chr11",67311287,67311542,"ENSG00000172830.14"
"364","chr11",70111975,70112436,"ENSG00000131620.19"
"365","chr11",73360506,73360771,"ENSG00000110237.6"
"366","chr11",73716895,73716942,"ENSG00000175582.21"
"367","chr11",73941860,73942343,"ENSG00000303192.1"
"368","chr11",74808781,74809082,"ENSG00000166439.7"
"369","chr11",77299518,77299833,"ENSG00000178795.10"
"370","chr11",78562194,78562469,"ENSG00000137513.12"
"371","chr11",78646860,78647123,NA
"372","chr11",84390523,84390756,"ENSG00000150672.19"
"373","chr11",96748545,96749143,"ENSG00000256684.2"
"374","chr11",100923575,100923666,"ENSG00000165895.19"
"375","chr11",107999880,108000143,NA
"376","chr11",108806725,108806977,"ENSG00000178105.13"
"377","chr11",109039737,109039931,NA
"378","chr11",110619359,110619437,"ENSG00000137727.13"
"379","chr11",111053347,111053548,NA
"380","chr11",111983356,111983393,"ENSG00000150764.15"
"381","chr11",114159013,114159792,"ENSG00000109906.16"
"382","chr11",116919262,116919535,"ENSG00000160584.18"
"383","chr11",117260366,117260639,"ENSG00000167257.12"
"384","chr11",117443649,117443803,"ENSG00000177103.15"
"385","chr11",118513927,118514195,"ENSG00000118058.26"
"386","chr11",118593444,118593572,"ENSG00000095139.16"
"387","chr11",118921030,118921741,"ENSG00000186174.14"
"388","chr11",119417765,119417793,"ENSG00000245248.11"
"389","chr11",122161693,122161910,"ENSG00000255248.11"
"390","chr11",125978431,125978640,"ENSG00000064309.17"
"391","chr11",128229232,128229640,"ENSG00000301990.1"
"392","chr11",128280044,128280322,"ENSG00000289398.2"
"393","chr11",128754177,128754370,"ENSG00000151702.19"
"394","chr11",128765958,128766253,"ENSG00000151702.19"
"395","chr11",129814861,129815028,NA
"396","chr11",130634581,130635382,"ENSG00000294232.1"
"397","chr11",130666896,130667310,"ENSG00000175728.5"
"398","chr11",130874989,130875285,"ENSG00000120451.11"
"399","chr12",437362,437615,"ENSG00000120647.11"
"400","chr12",576336,576556,"ENSG00000171840.14"
"401","chr12",924072,924290,"ENSG00000002016.19"
"402","chr12",1048265,1048369,"ENSG00000082805.22"
"403","chr12",1054539,1054726,"ENSG00000082805.22"
"404","chr12",1458346,1458461,"ENSG00000082805.22"
"405","chr12",1746242,1746300,"ENSG00000006831.11"
"406","chr12",2539506,2539563,"ENSG00000151067.23"
"407","chr12",3684631,3685047,"ENSG00000130038.11"
"408","chr12",4327270,4327412,"ENSG00000285901.2"
"409","chr12",5441580,5441895,"ENSG00000185652.12"
"410","chr12",6019720,6019740,"ENSG00000110799.15"
"411","chr12",7440028,7440228,"ENSG00000177675.10"
"412","chr12",9737335,9737625,"ENSG00000293488.2"
"413","chr12",10205373,10205731,"ENSG00000304188.1"
"414","chr12",12771379,12771573,"ENSG00000178878.14"
"415","chr12",14731803,14732057,"ENSG00000214772.3"
"416","chr12",18141562,18141755,"ENSG00000111404.7"
"417","chr12",18383232,18383717,"ENSG00000139144.12"
"418","chr12",19531062,19531071,"ENSG00000139154.16"
"419","chr12",19545978,19546345,"ENSG00000139154.16"
"420","chr12",20466029,20466156,"ENSG00000172572.8"
"421","chr12",25322807,25323047,NA
"422","chr12",27015680,27015953,NA
"423","chr12",27468785,27469316,"ENSG00000165935.10"
"424","chr12",27556535,27556570,"ENSG00000110841.15"
"425","chr12",27641178,27641443,"ENSG00000110841.15"
"426","chr12",27748052,27748394,"ENSG00000061794.14"
"427","chr12",31578571,31578778,"ENSG00000170456.17"
"428","chr12",31997875,31998149,NA
"429","chr12",38442640,38442832,NA
"430","chr12",42331581,42331610,"ENSG00000134283.19"
"431","chr12",48671305,48671388,"ENSG00000139620.14"
"432","chr12",48866951,48867211,NA
"433","chr12",48936464,48936761,"ENSG00000272822.2"
"434","chr12",49370118,49370176,"ENSG00000123352.19"
"435","chr12",50125497,50125613,"ENSG00000272368.2"
"436","chr12",51247395,51247970,"ENSG00000183283.17"
"437","chr12",51918098,51918477,"ENSG00000139567.15"
"438","chr12",53465811,53466084,"ENSG00000257379.1"
"439","chr12",53595322,53595586,"ENSG00000267281.3"
"440","chr12",58633570,58633870,"ENSG00000258231.6"
"441","chr12",62346677,62346784,"ENSG00000135655.17"
"442","chr12",64571746,64571888,"ENSG00000153179.16"
"443","chr12",65074656,65074913,"ENSG00000156076.11"
"444","chr12",67671793,67672197,NA
"445","chr12",70948414,70949042,NA
"446","chr12",79524653,79525024,NA
"447","chr12",91866008,91866267,NA
"448","chr12",93392885,93393679,"ENSG00000173598.15"
"449","chr12",94277427,94277688,"ENSG00000136040.9"
"450","chr12",94789827,94790466,"ENSG00000298041.1"
"451","chr12",96720384,96720639,"ENSG00000188596.11"
"452","chr12",98823161,98823405,"ENSG00000185046.21"
"453","chr12",103626528,103626893,"ENSG00000136011.15"
"454","chr12",103667136,103667530,"ENSG00000136011.15"
"455","chr12",104301124,104301440,"ENSG00000198431.18"
"456","chr12",104344104,104344205,"ENSG00000198431.18"
"457","chr12",104504843,104504901,"ENSG00000171310.11"
"458","chr12",104790593,104790862,"ENSG00000309266.1"
"459","chr12",105310479,105310791,"ENSG00000235162.10"
"460","chr12",107581330,107581582,"ENSG00000151136.15"
"461","chr12",110015178,110015431,"ENSG00000076513.18"
"462","chr12",111557397,111557729,"ENSG00000204842.19"
"463","chr12",111643762,111643814,"ENSG00000258099.2"
"464","chr12",111807277,111807514,"ENSG00000111275.14"
"465","chr12",113765098,113765295,"ENSG00000249550.9"
"466","chr12",116295956,116296233,NA
"467","chr12",116434754,116435085,"ENSG00000296503.1"
"468","chr12",120351217,120351305,"ENSG00000135097.8"
"469","chr12",120540562,120540917,"ENSG00000022840.17"
"470","chr12",120904343,120904503,NA
"471","chr12",120904779,120904869,"ENSG00000286493.2"
"472","chr12",121089419,121089721,"ENSG00000308947.1"
"473","chr12",121494249,121494499,"ENSG00000089094.21"
"474","chr12",122793922,122794197,"ENSG00000130783.15"
"475","chr12",123815666,123816264,"ENSG00000197653.17"
"476","chr12",124796650,124796689,"ENSG00000073060.18"
"477","chr12",124888487,124888760,"ENSG00000294609.1"
"478","chr12",131070960,131071395,"ENSG00000111452.14"
"479","chr12",131860442,131860777,"ENSG00000256955.3"
"480","chr12",132535499,132535739,"ENSG00000112787.15"
"481","chr13",19681503,19681730,"ENSG00000121390.20"
"482","chr13",20125523,20125769,"ENSG00000303261.1"
"483","chr13",24694103,24694377,"ENSG00000075673.13"
"484","chr13",26133315,26133648,"ENSG00000233963.2"
"485","chr13",26140281,26140528,"ENSG00000233963.2"
"486","chr13",27840044,27840385,"ENSG00000247381.3"
"487","chr13",29925856,29926082,"ENSG00000224405.2"
"488","chr13",30153005,30153212,"ENSG00000232117.3"
"489","chr13",32731628,32731943,"ENSG00000083642.20"
"490","chr13",32846216,32846292,NA
"491","chr13",33219418,33219588,"ENSG00000133121.22"
"492","chr13",37560854,37560951,NA
"493","chr13",39835645,39835950,NA
"494","chr13",40083962,40084149,"ENSG00000215483.13"
"495","chr13",40495680,40495953,"ENSG00000215483.13"
"496","chr13",41075378,41075727,"ENSG00000120688.10"
"497","chr13",44428569,44428931,NA
"498","chr13",44668703,44668813,"ENSG00000278156.4"
"499","chr13",47679341,47679470,"ENSG00000299661.1"
"500","chr13",49625928,49626192,"ENSG00000306783.1"
"501","chr13",49821708,49821758,"ENSG00000307730.1"
"502","chr13",51726820,51727108,"ENSG00000139668.10"
"503","chr13",51781681,51781736,"ENSG00000285444.1"
"504","chr13",59755685,59756007,"ENSG00000139734.19"
"505","chr13",66831324,66831491,"ENSG00000184226.15"
"506","chr13",72643705,72643769,NA
"507","chr13",73325730,73326177,NA
"508","chr13",73732744,73732889,"ENSG00000118922.20"
"509","chr13",75378325,75378603,"ENSG00000136111.15"
"510","chr13",75725256,75725455,"ENSG00000261553.5"
"511","chr13",75760223,75760724,"ENSG00000261553.5"
"512","chr13",79802801,79802945,"ENSG00000310363.1"
"513","chr13",89891301,89891877,NA
"514","chr13",90415002,90415430,NA
"515","chr13",96090019,96090149,NA
"516","chr13",97567960,97568212,"ENSG00000304344.1"
"517","chr13",98812498,98812571,"ENSG00000088387.23"
"518","chr13",98947886,98948303,"ENSG00000088387.23"
"519","chr13",99617663,99617941,"ENSG00000125246.17"
"520","chr13",99926472,99926789,"ENSG00000286757.5"
"521","chr13",100491170,100491684,"ENSG00000175198.18"
"522","chr13",101661817,101662247,"ENSG00000198542.16"
"523","chr13",106543825,106543876,"ENSG00000134884.16"
"524","chr13",107376745,107377193,"ENSG00000204442.4"
"525","chr13",110509899,110510086,"ENSG00000134871.21"
"526","chr13",113647362,113647890,NA
"527","chr13",114100524,114100814,"ENSG00000185989.12"
"528","chr14",21496481,21496709,"ENSG00000092203.16"
"529","chr14",26671759,26672024,"ENSG00000257842.7"
"530","chr14",32897489,32897894,NA
"531","chr14",36605462,36605489,"ENSG00000283098.3"
"532","chr14",51577817,51577859,"ENSG00000258537.7"
"533","chr14",52691343,52691590,"ENSG00000197930.14"
"534","chr14",53947371,53947580,NA
"535","chr14",54922752,54922914,NA
"536","chr14",55979205,55979608,NA
"537","chr14",59631286,59631523,"ENSG00000139970.19"
