"","chr","start","end","GENE_ID"
"45","chr1",17606062,17606227,"ENSG00000074964.18"
"46","chr1",25616372,25616639,NA
"47","chr1",33640924,33641223,"ENSG00000121904.19"
"48","chr1",38786549,38786808,"ENSG00000284632.2"
"49","chr1",41404375,41404812,NA
"50","chr1",43612231,43612513,"ENSG00000142949.19"
"51","chr1",48648889,48649161,"ENSG00000186094.18"
"52","chr1",63330085,63330324,"ENSG00000142856.19"
"53","chr1",75520903,75521140,"ENSG00000137968.17"
"54","chr1",76295265,76295463,"ENSG00000184005.12"
"55","chr1",82522339,82522368,"ENSG00000233290.5"
"56","chr1",99513886,99513996,"ENSG00000224445.4"
"57","chr1",115073779,115074110,"ENSG00000134198.11"
"58","chr1",120961808,120961992,"ENSG00000226067.8"
"59","chr1",122511060,122511140,NA
"60","chr1",122888784,122889170,NA
"61","chr1",122894767,122895103,NA
"62","chr1",123370181,123370260,NA
"63","chr1",123837541,123837948,NA
"64","chr1",124129459,124129782,NA
"65","chr1",124348421,124348669,NA
"66","chr1",124407646,124407913,NA
"67","chr1",124864399,124864567,NA
"68","chr1",124911859,124911995,NA
"69","chr1",144971045,144971230,"ENSG00000196369.13"
"70","chr1",145361627,145361951,"ENSG00000162825.18"
"71","chr1",147098253,147098460,NA
"72","chr1",161428105,161428419,"ENSG00000283360.1"
"73","chr1",167650273,167650572,"ENSG00000241666.3"
"74","chr1",172928357,172928580,"ENSG00000224000.2"
"75","chr1",180144652,180144713,"ENSG00000294522.1"
"76","chr1",183106906,183107185,"ENSG00000135862.7"
"77","chr1",185096481,185096817,"ENSG00000121481.13"
"78","chr1",201562665,201563018,"ENSG00000224536.3"
"79","chr1",204983017,204983308,"ENSG00000163531.18"
"80","chr1",205766160,205766419,NA
"81","chr1",209756384,209756895,"ENSG00000227591.7"
"82","chr1",228304478,228304659,"ENSG00000154358.23"
"83","chr1",232474929,232475257,"ENSG00000116991.13"
"84","chr1",234933035,234933345,NA
"85","chr1",239952871,239953176,NA
"86","chr1",241125149,241125226,"ENSG00000182901.18"
"87","chr1",248188777,248189138,NA
"88","chr10",1237803,1237968,"ENSG00000229205.5"
"89","chr10",16381162,16381362,"ENSG00000295551.1"
"90","chr10",21962600,21962749,"ENSG00000136770.12"
"91","chr10",32891329,32891588,"ENSG00000150093.21"
"92","chr10",41583505,41583736,NA
"93","chr10",46807034,46807293,"ENSG00000291069.2"
"94","chr10",49679417,49679609,NA
"95","chr10",69101859,69102160,"ENSG00000122862.6"
"96","chr10",69390226,69390513,"ENSG00000156515.26"
"97","chr10",74126375,74126501,"ENSG00000185009.14"
"98","chr10",80220870,80221163,"ENSG00000237523.3"
"99","chr10",95508884,95509193,"ENSG00000095637.24"
"100","chr10",101284158,101284170,"ENSG00000229649.2"
"101","chr10",112428720,112428789,"ENSG00000023041.13"
"102","chr10",122632176,122632453,"ENSG00000187908.21"
"103","chr10",122725197,122725443,NA
"104","chr10",124612852,124613422,"ENSG00000107902.15"
"105","chr10",125022339,125022568,"ENSG00000175029.18"
"106","chr10",126626210,126626470,"ENSG00000154493.20"
"107","chr10",127720996,127721234,NA
"108","chr10",133472852,133473071,"ENSG00000214279.13"
"109","chr11",13693357,13693634,"ENSG00000197601.16"
"110","chr11",33617921,33618016,"ENSG00000110427.18"
"111","chr11",44870334,44870713,"ENSG00000157570.13"
"112","chr11",45425783,45426009,"ENSG00000255267.5"
"113","chr11",46896089,46896212,"ENSG00000134569.11"
"114","chr11",51540242,51540422,NA
"115","chr11",52900979,52901232,NA
"116","chr11",57275425,57275809,"ENSG00000299485.1"
"117","chr11",59080530,59080785,"ENSG00000255240.7"
"118","chr11",61085296,61085531,"ENSG00000303405.1"
"119","chr11",63163624,63163809,"ENSG00000196600.13"
"120","chr11",63625347,63625524,"ENSG00000256789.2"
"121","chr11",68964046,68964260,NA
"122","chr11",69416038,69416177,"ENSG00000259854.1"
"123","chr11",71842735,71843034,"ENSG00000289716.1"
"124","chr11",77192871,77193130,"ENSG00000137474.24"
"125","chr11",89948050,89948096,"ENSG00000254818.1"
"126","chr11",93529226,93529506,"ENSG00000166002.8"
"127","chr11",93846008,93846190,"ENSG00000214376.7"
"128","chr11",94234294,94234416,"ENSG00000250519.8"
"129","chr11",95054256,95054523,NA
"130","chr11",111436869,111437030,"ENSG00000110777.12"
"131","chr11",113847807,113847936,"ENSG00000048028.13"
"132","chr11",116409325,116409611,"ENSG00000236437.3"
"133","chr11",117384172,117384469,"ENSG00000110274.17"
"134","chr11",120186703,120186953,NA
"135","chr12",2682529,2682750,"ENSG00000151067.23"
"136","chr12",3313867,3313990,"ENSG00000291189.2"
"137","chr12",3494713,3494796,"ENSG00000111218.13"
"138","chr12",14893590,14893855,"ENSG00000182993.6"
"139","chr12",31627870,31627922,"ENSG00000255867.2"
"140","chr12",34933509,34933701,NA
"141","chr12",35076080,35076139,NA
"142","chr12",35265275,35265538,NA
"143","chr12",35560768,35560866,NA
"144","chr12",35622610,35622837,NA
"145","chr12",35625838,35625841,NA
"146","chr12",35777739,35777912,NA
"147","chr12",35818178,35818511,NA
"148","chr12",35927405,35927664,NA
"149","chr12",35980997,35981095,NA
"150","chr12",36115223,36115373,NA
"151","chr12",36304864,36305162,NA
"152","chr12",36327328,36327595,NA
"153","chr12",36343547,36343827,NA
"154","chr12",36468920,36469157,NA
"155","chr12",36517660,36517833,NA
"156","chr12",36718277,36718611,NA
"157","chr12",36730942,36731209,NA
"158","chr12",36784693,36785008,NA
"159","chr12",36871155,36871429,NA
"160","chr12",36899429,36899556,NA
"161","chr12",37094867,37095126,NA
"162","chr12",48037330,48037436,NA
"163","chr12",48286530,48286635,"ENSG00000293682.1"
"164","chr12",58907022,58907281,"ENSG00000139263.13"
"165","chr12",64258875,64258962,"ENSG00000293269.2"
"166","chr12",83092029,83092344,"ENSG00000179104.9"
"167","chr12",98153884,98154119,"ENSG00000258312.2"
"168","chr12",102764245,102764453,NA
"169","chr12",107085336,107085601,"ENSG00000008405.13"
"170","chr12",108302545,108302856,"ENSG00000174600.15"
"171","chr12",117469435,117469576,"ENSG00000171435.15"
"172","chr12",117589923,117590182,"ENSG00000171435.15"
"173","chr12",118707554,118707951,NA
"174","chr12",123534149,123534315,NA
"175","chr12",126303646,126303913,"ENSG00000255595.6"
"176","chr13",16231559,16231620,NA
"177","chr13",16238506,16238754,NA
"178","chr13",16981450,16981732,NA
"179","chr13",17202410,17202474,NA
"180","chr13",17207068,17207283,NA
"181","chr13",17556347,17556385,NA
"182","chr13",17642197,17642368,NA
"183","chr13",23866958,23867214,"ENSG00000027001.11"
"184","chr13",35957929,35958196,"ENSG00000133083.16"
"185","chr13",36432116,36432537,"ENSG00000133101.11"
"186","chr13",43159345,43159430,"ENSG00000229928.1"
"187","chr13",43305382,43305612,"ENSG00000120658.15"
"188","chr13",44720313,44720339,"ENSG00000278156.4"
"189","chr13",74931457,74931671,NA
"190","chr13",93244518,93244561,"ENSG00000302670.1"
"191","chr13",97283004,97283069,"ENSG00000139793.22"
"192","chr13",112789148,112789438,"ENSG00000068650.20"
"193","chr14",16443336,16443408,NA
"194","chr14",16443652,16443802,NA
"195","chr14",16802783,16802861,NA
"196","chr14",17369381,17369598,NA
"197","chr14",17492466,17492781,NA
"198","chr14",17535971,17536131,NA
"199","chr14",18050586,18050853,NA
"200","chr14",23378269,23378511,"ENSG00000166091.22"
"201","chr14",26863824,26864073,"ENSG00000257842.7"
"202","chr14",29542713,29542940,NA
"203","chr14",30875500,30875586,"ENSG00000100473.19"
"204","chr14",32382792,32383051,"ENSG00000151320.12"
"205","chr14",70771925,70772026,"ENSG00000006432.17"
"206","chr14",77690255,77690439,"ENSG00000100601.11"
"207","chr14",80493192,80493317,"ENSG00000100629.18"
"208","chr14",92525467,92525807,"ENSG00000100599.17"
"209","chr14",96180857,96181074,NA
"210","chr14",96802996,96803250,"ENSG00000100749.10"
"211","chr14",99746695,99747086,"ENSG00000066629.20"
"212","chr14",104109180,104109457,"ENSG00000166183.17"
"213","chr14",104933405,104933938,"ENSG00000166428.15"
"214","chr15",18470088,18470488,NA
"215","chr15",19287158,19287309,NA
"216","chr15",20105108,20105200,NA
"217","chr15",34693391,34693598,"ENSG00000294065.1"
"218","chr15",37929934,37930028,"ENSG00000300563.1"
"219","chr15",43616634,43616694,"ENSG00000242866.10"
"220","chr15",46413835,46414094,"ENSG00000287704.3"
"221","chr15",49075823,49075994,NA
"222","chr15",52151485,52151744,"ENSG00000069966.19"
"223","chr15",57236173,57236473,"ENSG00000140262.19"
"224","chr15",57423201,57423797,"ENSG00000128849.12"
"225","chr15",57433447,57433760,"ENSG00000128849.12"
"226","chr15",59039709,59039958,"ENSG00000157450.17"
"227","chr15",75110777,75111126,"ENSG00000138621.13"
"228","chr15",80467252,80467407,"ENSG00000172379.23"
"229","chr15",83077920,83078167,"ENSG00000259805.1"
"230","chr15",85164908,85165158,NA
"231","chr15",89439376,89439645,"ENSG00000289128.2"
"232","chr15",92044206,92044327,"ENSG00000176463.14"
"233","chr15",100879667,100879877,"ENSG00000184254.19"
"234","chr15",101934604,101934815,NA
"235","chr16",707703,707937,"ENSG00000279255.2"
"236","chr16",15605670,15605732,"ENSG00000166780.12"
"237","chr16",22525205,22525355,"ENSG00000243716.13"
"238","chr16",31354829,31355322,NA
"239","chr16",37693370,37693458,NA
"240","chr16",37892679,37892847,NA
"241","chr16",49023201,49023473,NA
"242","chr16",64745240,64745403,NA
"243","chr16",68738757,68738962,"ENSG00000039068.21"
"244","chr16",69496259,69496284,NA
"245","chr16",69840759,69840805,"ENSG00000198373.14"
"246","chr16",71426518,71426777,NA
"247","chr16",72598544,72598751,"ENSG00000261008.10"
"248","chr16",74375389,74375541,NA
"249","chr16",74774521,74774744,"ENSG00000103089.10"
"250","chr16",77385820,77386034,"ENSG00000140873.16"
"251","chr16",82264380,82264597,NA
"252","chr16",86351757,86351932,NA
"253","chr16",87221891,87222264,"ENSG00000260456.8"
"254","chr17",5630525,5630794,NA
"255","chr17",7905537,7905662,"ENSG00000170004.19"
"256","chr17",17733390,17733644,"ENSG00000108557.21"
"257","chr17",22389883,22389934,"ENSG00000276399.2"
"258","chr17",27479090,27479480,"ENSG00000141068.17"
"259","chr17",29855750,29856128,"ENSG00000141298.19"
"260","chr17",29919187,29919391,"ENSG00000141298.19"
"261","chr17",38339963,38340211,"ENSG00000277399.6"
"262","chr17",41710709,41710970,NA
"263","chr17",61987104,61987432,"ENSG00000108510.11"
"264","chr17",65850493,65850786,"ENSG00000154240.19"
"265","chr17",72779260,72779459,"ENSG00000133195.13"
"266","chr17",73396132,73396282,"ENSG00000069188.17"
"267","chr17",74417391,74417473,NA
"268","chr18",242441,242494,"ENSG00000079134.14"
"269","chr18",7452404,7452686,NA
"270","chr18",12472707,12472966,"ENSG00000134278.17"
"271","chr18",15827066,15827232,NA
"272","chr18",15916469,15916562,NA
"273","chr18",15980383,15980413,NA
"274","chr18",16401888,16401990,NA
"275","chr18",16527158,16527452,NA
"276","chr18",17580145,17580598,NA
"277","chr18",18758414,18758416,NA
"278","chr18",19799321,19799601,NA
"279","chr18",20821162,20821262,NA
"280","chr18",20928140,20928399,NA
"281","chr18",22364027,22364384,NA
"282","chr18",24544315,24544395,"ENSG00000265485.9"
"283","chr18",62802353,62802388,"ENSG00000081913.15"
"284","chr18",77669945,77670217,NA
"285","chr19",4215760,4215865,"ENSG00000089847.14"
"286","chr19",4663475,4663546,"ENSG00000074842.9"
"287","chr19",7457452,7457607,"ENSG00000104880.19"
"288","chr19",13938291,13938537,"ENSG00000132000.15"
"289","chr19",17836635,17836863,"ENSG00000105639.21"
"290","chr19",25150428,25150795,NA
"291","chr19",25385616,25385671,NA
"292","chr19",25695761,25695910,NA
"293","chr19",26952635,26952988,NA
"294","chr19",35008940,35009134,"ENSG00000089351.16"
"295","chr19",37950828,37951030,"ENSG00000105738.12"
"296","chr19",37962600,37962631,"ENSG00000105738.12"
"297","chr19",40533759,40533875,"ENSG00000160460.17"
"298","chr19",40864128,40864130,"ENSG00000268797.1"
"299","chr19",45913924,45914096,"ENSG00000188425.4"
"300","chr19",46131820,46132027,"ENSG00000267922.1"
"301","chr19",46925082,46925198,"ENSG00000160007.21"
"302","chr19",50112099,50112289,"ENSG00000287001.4"
"303","chr2",3043517,3043719,"ENSG00000234423.3"
"304","chr2",3219341,3219415,"ENSG00000032389.14"
"305","chr2",38319390,38319657,"ENSG00000119787.15"
"306","chr2",45930442,45930707,"ENSG00000171132.15"
"307","chr2",55703763,55704203,NA
"308","chr2",61895562,61895812,"ENSG00000173163.12"
"309","chr2",64076820,64077024,NA
"310","chr2",70336824,70336850,NA
"311","chr2",70698821,70699080,"ENSG00000075340.24"
"312","chr2",87394599,87394733,NA
"313","chr2",87742225,87742318,"ENSG00000284879.1"
"314","chr2",91563194,91563321,NA
"315","chr2",92430588,92430675,NA
"316","chr2",92544543,92544619,NA
"317","chr2",92652815,92653199,NA
"318","chr2",93275719,93275944,NA
"319","chr2",94904756,94905015,"ENSG00000291024.2"
"320","chr2",98514975,98515125,"ENSG00000040933.18"
"321","chr2",98523065,98523276,"ENSG00000040933.18"
"322","chr2",109802323,109802390,"ENSG00000015568.14"
"323","chr2",110080902,110081035,NA
"324","chr2",110589816,110590088,"ENSG00000183054.14"
"325","chr2",112061383,112061497,"ENSG00000153214.12"
"326","chr2",119389463,119389566,NA
"327","chr2",120605676,120606107,NA
"328","chr2",120963262,120963576,"ENSG00000074047.23"
"329","chr2",127074407,127074417,"ENSG00000136717.16"
"330","chr2",127087203,127087631,"ENSG00000136717.16"
"331","chr2",132255193,132255418,"ENSG00000163046.16"
"332","chr2",134368251,134368523,"ENSG00000152127.10"
"333","chr2",134607044,134607306,"ENSG00000152128.14"
"334","chr2",152048264,152048289,"ENSG00000182389.20"
"335","chr2",160736817,160737076,NA
"336","chr2",160955713,160956086,"ENSG00000299704.1"
"337","chr2",162044726,162044898,"ENSG00000197635.12"
"338","chr2",165016759,165017018,"ENSG00000236283.6"
"339","chr2",182642508,182642729,NA
"340","chr2",200252767,200253016,"ENSG00000297701.1"
"341","chr2",213083376,213083635,"ENSG00000030419.18"
"342","chr2",215059902,215059981,"ENSG00000144452.15"
"343","chr2",215706272,215706497,"ENSG00000237525.8"
"344","chr2",219476969,219477123,"ENSG00000072195.15"
"345","chr2",223476934,223477256,"ENSG00000303770.1"
"346","chr2",232633272,232633531,"ENSG00000115468.14"
"347","chr2",239964827,239965086,"ENSG00000130414.14"
"348","chr20",760894,761153,"ENSG00000101276.19"
"349","chr20",4045757,4046175,NA
"350","chr20",8837476,8837676,"ENSG00000182621.19"
"351","chr20",8932104,8932516,"ENSG00000182621.19"
"352","chr20",17531406,17531723,"ENSG00000125864.15"
"353","chr20",22583809,22583997,"ENSG00000125798.16"
"354","chr20",27200246,27200601,NA
"355","chr20",28001656,28001747,NA
"356","chr20",28871439,28871657,NA
"357","chr20",29057932,29058151,NA
"358","chr20",31473494,31473549,"ENSG00000180383.4"
"359","chr20",37745577,37745825,"ENSG00000132792.22"
"360","chr20",39913454,39913667,NA
"361","chr20",50498046,50498462,NA
"362","chr20",51313424,51313763,"ENSG00000300496.1"
"363","chr20",61202064,61202333,NA
"364","chr20",64156141,64156461,"ENSG00000196132.15"
"365","chr21",5233836,5233914,"ENSG00000279669.2"
"366","chr21",7054379,7054462,"ENSG00000277067.5"
"367","chr21",8775883,8776075,"ENSG00000279579.4"
"368","chr21",10380794,10380928,"ENSG00000293834.1"
"369","chr21",10401661,10401880,NA
"370","chr21",11202671,11202696,NA
"371","chr21",11220375,11220593,NA
"372","chr21",12234873,12235136,NA
"373","chr21",12646257,12646318,NA
"374","chr21",12808395,12808619,NA
"375","chr21",32537604,32537712,"ENSG00000265590.10"
"376","chr21",42443171,42443405,"ENSG00000160185.15"
"377","chr21",45156038,45156305,"ENSG00000197381.19"
"378","chr22",11311152,11311417,NA
"379","chr22",12192969,12193053,"ENSG00000298316.1"
"380","chr22",13146324,13146405,NA
"381","chr22",13661085,13661133,NA
"382","chr22",14948585,14948690,NA
"383","chr22",17951106,17951133,"ENSG00000243156.9"
"384","chr22",18106171,18106494,"ENSG00000288683.1"
"385","chr22",24052129,24052348,"ENSG00000099991.19"
"386","chr22",30319022,30319337,"ENSG00000099992.17"
"387","chr22",35335856,35336076,"ENSG00000100284.23"
"388","chr22",37145430,37145557,"ENSG00000100385.16"
"389","chr3",8652085,8652183,"ENSG00000125046.16"
"390","chr3",14214408,14214667,NA
"391","chr3",22891440,22891481,NA
"392","chr3",31575450,31575709,"ENSG00000163527.12"
"393","chr3",37601897,37602156,"ENSG00000144668.13"
"394","chr3",50212699,50212905,"ENSG00000188338.16"
"395","chr3",52611932,52611985,"ENSG00000163939.20"
"396","chr3",62574303,62574504,"ENSG00000163618.19"
"397","chr3",65288795,65289078,NA
"398","chr3",87172143,87172332,NA
"399","chr3",90988913,90989316,NA
"400","chr3",91124520,91124801,NA
"401","chr3",91603890,91604341,NA
"402","chr3",91901032,91901057,NA
"403","chr3",91903434,91903638,NA
"404","chr3",99872159,99872518,"ENSG00000184220.12"
"405","chr3",106570435,106570760,NA
"406","chr3",113247641,113247912,"ENSG00000144857.16"
"407","chr3",115391914,115392161,"ENSG00000242880.3"
"408","chr3",120284729,120284874,"ENSG00000175697.12"
"409","chr3",123388996,123389100,"ENSG00000173175.17"
"410","chr3",125140269,125140423,"ENSG00000221955.12"
"411","chr3",129640165,129640340,NA
"412","chr3",139825275,139825457,NA
"413","chr3",140286600,140286602,"ENSG00000158258.16"
"414","chr3",151924146,151924156,"ENSG00000242908.7"
"415","chr3",152388464,152388830,"ENSG00000152601.19"
"416","chr3",155326901,155326913,NA
"417","chr3",172270507,172270736,"ENSG00000075420.14"
"418","chr3",173747733,173747820,"ENSG00000169760.18"
"419","chr3",178665926,178666171,"ENSG00000197584.14"
"420","chr3",179820640,179820859,"ENSG00000114757.19"
"421","chr3",186960371,186960406,"ENSG00000073849.17"
"422","chr3",189172928,189173035,"ENSG00000188001.11"
"423","chr3",193297582,193297709,"ENSG00000187527.12"
"424","chr4",9216485,9216757,"ENSG00000288075.2"
"425","chr4",16163007,16163269,"ENSG00000296956.1"
"426","chr4",37812786,37812911,"ENSG00000309602.1"
"427","chr4",40831223,40831329,"ENSG00000163697.19"
"428","chr4",46860250,46860503,"ENSG00000170516.17"
"429","chr4",49532006,49532222,"ENSG00000294922.1"
"430","chr4",49796728,49796925,NA
"431","chr4",50301441,50301576,NA
"432","chr4",51452130,51452293,NA
"433","chr4",51516377,51516404,NA
"434","chr4",51921588,51921677,NA
"435","chr4",54296680,54296910,"ENSG00000134853.13"
"436","chr4",81508487,81508722,"ENSG00000138670.20"
"437","chr4",87717389,87717641,"ENSG00000249001.7"
"438","chr4",90312196,90312332,"ENSG00000184305.16"
"439","chr4",95181563,95181822,"ENSG00000182168.16"
"440","chr4",99013401,99013753,"ENSG00000164024.13"
"441","chr4",100583725,100583977,"ENSG00000164035.11"
"442","chr4",104524957,104525105,"ENSG00000245384.3"
"443","chr4",107349462,107349701,NA
"444","chr4",119031438,119031552,"ENSG00000172403.11"
"445","chr4",138522506,138522694,"ENSG00000251372.9"
"446","chr4",139599991,139600278,"ENSG00000145391.16"
"447","chr4",139683122,139683352,"ENSG00000085871.10"
"448","chr4",143052873,143053063,"ENSG00000250326.3"
"449","chr4",145954902,145955161,NA
"450","chr4",146223236,146223434,"ENSG00000250673.3"
"451","chr4",147780574,147780979,"ENSG00000071205.13"
"452","chr4",165379963,165380031,"ENSG00000109472.15"
"453","chr4",165461489,165461788,"ENSG00000109472.15"
"454","chr4",165503512,165503639,"ENSG00000297440.1"
"455","chr4",165537040,165537260,NA
"456","chr5",926902,927228,NA
"457","chr5",1437569,1437828,"ENSG00000142319.20"
"458","chr5",37847871,37848186,"ENSG00000248587.9"
"459","chr5",47724813,47725015,NA
"460","chr5",48697050,48697384,NA
"461","chr5",48875011,48875403,NA
"462","chr5",49153796,49153834,NA
"463","chr5",54581263,54581316,NA
"464","chr5",54761333,54761505,NA
"465","chr5",57735815,57735928,"ENSG00000287709.3"
"466","chr5",59308870,59309129,"ENSG00000113448.21"
"467","chr5",72353062,72353449,"ENSG00000049883.16"
"468","chr5",72861138,72861331,"ENSG00000083312.20"
"469","chr5",73896266,73896629,"ENSG00000214944.11"
"470","chr5",83964407,83964666,"ENSG00000164176.14"
"471","chr5",90111515,90111661,"ENSG00000248555.8"
"472","chr5",93062826,93062842,"ENSG00000251361.2"
"473","chr5",93985006,93985356,"ENSG00000113391.20"
"474","chr5",95274578,95274783,"ENSG00000175471.20"
"475","chr5",132445864,132446057,"ENSG00000197536.12"
"476","chr5",134656491,134656856,"ENSG00000113615.14"
"477","chr5",140053083,140053214,NA
"478","chr5",140182196,140182455,"ENSG00000120306.12"
"479","chr5",141910407,141910456,"ENSG00000287726.2"
"480","chr5",147539131,147539362,NA
"481","chr5",149431176,149431404,"ENSG00000249669.13"
"482","chr5",169856578,169856600,"ENSG00000134516.21"
"483","chr5",174921005,174921298,"ENSG00000204754.4"
"484","chr5",178357030,178357234,"ENSG00000050767.18"
"485","chr5",181063535,181063754,NA
"486","chr6",11367217,11367476,"ENSG00000111859.18"
"487","chr6",21900831,21900843,"ENSG00000272168.11"
"488","chr6",33655325,33655601,"ENSG00000096433.12"
"489","chr6",35302923,35303068,"ENSG00000023892.13"
"490","chr6",37754496,37754755,"ENSG00000304838.1"
"491","chr6",47126784,47127054,NA
"492","chr6",58771112,58771379,NA
"493","chr6",58781505,58781846,NA
"494","chr6",58811667,58811911,NA
"495","chr6",59119747,59119849,NA
"496","chr6",59222652,59222919,NA
"497","chr6",69918350,69918350,"ENSG00000082293.13"
"498","chr6",76708861,76709130,"ENSG00000302959.1"
"499","chr6",80483974,80483977,NA
"500","chr6",83592814,83592838,"ENSG00000065609.16"
"501","chr6",105273895,105274168,"ENSG00000085377.16"
"502","chr6",133172797,133173089,NA
"503","chr6",136846116,136846554,"ENSG00000112357.15"
"504","chr6",138795865,138796017,NA
"505","chr6",144540353,144540463,"ENSG00000152818.20"
"506","chr6",150572876,150573303,"ENSG00000301114.1"
"507","chr6",151020433,151020441,"ENSG00000120254.17"
"508","chr6",152533160,152533383,"ENSG00000131018.25"
"509","chr6",160627278,160627365,"ENSG00000198670.14"
"510","chr6",160628195,160628229,"ENSG00000198670.14"
"511","chr6",166581912,166582001,"ENSG00000071242.14"
"512","chr7",2998245,2998493,"ENSG00000198286.12"
"513","chr7",21869789,21870172,"ENSG00000105877.19"
"514","chr7",22356390,22356592,"ENSG00000136237.20"
"515","chr7",31486265,31486408,NA
"516","chr7",35828920,35829363,"ENSG00000122545.22"
"517","chr7",42391124,42391139,NA
"518","chr7",56823449,56823708,"ENSG00000279072.2"
"519","chr7",57488564,57488771,NA
"520","chr7",58977376,58977465,NA
"521","chr7",59195404,59195552,NA
"522","chr7",59464056,59464087,NA
"523","chr7",59671296,59671417,NA
"524","chr7",59810170,59810401,NA
"525","chr7",60226878,60227045,NA
"526","chr7",60279163,60279429,NA
"527","chr7",60366893,60367215,NA
"528","chr7",63564435,63564526,NA
"529","chr7",66874274,66874392,"ENSG00000289177.3"
"530","chr7",77547041,77547147,"ENSG00000127947.17"
"531","chr7",87517094,87517350,"ENSG00000085563.16"
"532","chr7",95509207,95509558,"ENSG00000005981.14"
"533","chr7",99132823,99132958,"ENSG00000198742.11"
"534","chr7",108454990,108455164,"ENSG00000091129.23"
"535","chr7",111888824,111889035,"ENSG00000128512.24"
"536","chr7",129191688,129191808,"ENSG00000128602.12"
"537","chr7",132865382,132865863,"ENSG00000106554.14"
"538","chr7",132866015,132866274,"ENSG00000106554.14"
"539","chr7",133581730,133581916,"ENSG00000131558.17"
"540","chr7",155003405,155003598,"ENSG00000273344.3"
"541","chr8",214416,214828,"ENSG00000292979.2"
"542","chr8",693914,694270,"ENSG00000104714.15"
"543","chr8",13083539,13083853,"ENSG00000164741.16"
"544","chr8",13294640,13294965,"ENSG00000164741.16"
"545","chr8",17389066,17389356,"ENSG00000003987.15"
"546","chr8",19513055,19513353,"ENSG00000147408.17"
"547","chr8",28754152,28754418,"ENSG00000012232.11"
"548","chr8",32547483,32547573,"ENSG00000157168.23"
"549","chr8",41201552,41201819,NA
"550","chr8",54476721,54477111,"ENSG00000309172.1"
"551","chr8",55995497,55995750,"ENSG00000254087.9"
"552","chr8",58191447,58191706,"ENSG00000169122.13"
"553","chr8",59118654,59118851,"ENSG00000198846.7"
"554","chr8",60018302,60018546,NA
"555","chr8",60987131,60987323,"ENSG00000254777.6"
"556","chr8",65533958,65534016,"ENSG00000254081.2"
"557","chr8",65913405,65913413,NA
"558","chr8",68107155,68107370,"ENSG00000046889.20"
"559","chr8",71754780,71754870,"ENSG00000254277.3"
"560","chr8",85658685,85658904,"ENSG00000293000.1"
"561","chr8",85815697,85815982,"ENSG00000277436.1"
"562","chr8",100644179,100644345,"ENSG00000174226.10"
"563","chr8",114164941,114165122,NA
"564","chr8",119685118,119685389,NA
"565","chr8",123213060,123213092,NA
"566","chr8",124737359,124737490,"ENSG00000305490.1"
"567","chr8",133744045,133744099,NA
"568","chr8",135644402,135644618,"ENSG00000131773.15"
"569","chr8",142270918,142271025,"ENSG00000171045.17"
"570","chr9",14192588,14192794,"ENSG00000147862.19"
"571","chr9",27297546,27297733,"ENSG00000308922.1"
"572","chr9",33458554,33458838,NA
"573","chr9",36442090,36442357,"ENSG00000137075.18"
"574","chr9",36863860,36864119,"ENSG00000196092.14"
"575","chr9",39797941,39798274,"ENSG00000278175.7"
